Filnavn,Kategori,Model_Score,Human_Score,Kommentar
full_transcripts_output\transcript_NO_4372696.txt,Forretningsstabilitet,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Makroforhold,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Forsyningskjede,-1,-1,a
full_transcripts_output\transcript_NO_4372696.txt,Produksjonskvalitet,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Kompetanse,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Etterspørselsmønstre,-2,-2,a
full_transcripts_output\transcript_NO_4372696.txt,Prismakt,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Strategigjennomføring,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Forretningsstabilitet,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Makroforhold,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Forsyningskjede,-1,-1,a
full_transcripts_output\transcript_NO_4372696.txt,Produksjonskvalitet,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Kompetanse,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Etterspørselsmønstre,-2,-2,a
full_transcripts_output\transcript_NO_4372696.txt,Prismakt,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Strategigjennomføring,2,1,a
full_transcripts_output\transcript_NO_4372696.txt,Forretningsstabilitet,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Makroforhold,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Forsyningskjede,-1,-1,a
full_transcripts_output\transcript_NO_4372696.txt,Produksjonskvalitet,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Kompetanse,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Etterspørselsmønstre,-2,-2,a
full_transcripts_output\transcript_NO_4372696.txt,Prismakt,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Strategigjennomføring,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Forretningsstabilitet,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Makroforhold,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Forsyningskjede,-1,-1,a
full_transcripts_output\transcript_NO_4372696.txt,Produksjonskvalitet,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Kompetanse,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Etterspørselsmønstre,-2,-2,a
full_transcripts_output\transcript_NO_4372696.txt,Prismakt,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Strategigjennomføring,2,1,a
full_transcripts_output\transcript_NO_4372696.txt,Forretningsstabilitet,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Makroforhold,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Forsyningskjede,-1,-1,a
full_transcripts_output\transcript_NO_4372696.txt,Produksjonskvalitet,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Kompetanse,2,2,a
full_transcripts_output\transcript_NO_4372696.txt,Etterspørselsmønstre,-2,-2,a
full_transcripts_output\transcript_NO_4372696.txt,Prismakt,1,1,a
full_transcripts_output\transcript_NO_4372696.txt,Strategigjennomføring,2,2,a
